license,company,county,city,zip,phone,classes,role,market
1058356,J A M CONSTRUCTION,Alameda,CASTRO VALLEY,94546,(925) 339 8080,B,buyer_GC,SF_BAY
1058358,LAVON HARRIS,Los Angeles,LOS ANGELES,90045,(323) 944 6784,B,buyer_GC,LA
1058365,GILSTRINGER CONSTRUCTION,Los Angeles,HAWTHORNE,90250,(213) 810 1582,B,buyer_GC,LA
1058391,HYLAND ELECTRICAL AND PLUMBING,San Mateo,SAN CARLOS,94070,(650) 207 0186,B|C10|C36,buyer_GC,SF_BAY
1058392,OASIS CONSTRUCTION,Los Angeles,BALDWIN PARK,91706,(858) 401 7777,B,buyer_GC,LA
1058415,ARREBAK CONSTRUCTION,Alameda,PIEDMONT,94611,(510) 435 2952,B,buyer_GC,SF_BAY
1058452,BUILTSTONE CONSTRUCTION,Los Angeles,RESEDA,91335,(818) 633 1778,B,buyer_GC,LA
1058454,R CONSTRUCTION,Alameda,LIVERMORE,94550,(925) 695 4482,B,buyer_GC,SF_BAY
1058466,21ST CENTURY PAINTING,Los Angeles,RESEDA,91335,(818) 517 1603,C33,partner,LA
1058468,FUTURE BUILDERS & DESIGN INC,Los Angeles,WOODLAND HILLS,91367,(818) 943 5946,B,buyer_GC,LA
1058477,JORGE GARCIA RODRIGUEZ,Los Angeles,NORWALK,90650,(323) 691 4145,B|D28,buyer_GC,LA
1058493,FRONTIER BUILDING PRODUCTS PACIFIC INC,Alameda,SAN LEANDRO,94577,(510) 935 0086,B|D21|D24|D28,buyer_GC,SF_BAY
1058496,ANALOG CONSTRUCTION,Los Angeles,PASADENA,91101,(323) 336 2917,B,buyer_GC,LA
1058497,DESIGN WORKS CONSTRUCTION INC,Los Angeles,SYLMAR,91342,(626) 833 7952,B,buyer_GC,LA
1058504,ISAAC CONSTRUCTION,Los Angeles,TARZANA,91356,(818) 854 5202,B,buyer_GC,LA
1058506,SIMON G TECH INC DBA SIMON G CONSTRUCTION,Los Angeles,TUJUNGA,91042,(818) 919 9752,B,buyer_GC,LA
1058528,ELOY SANCHEZ DBA MODERN HOMES AND DESIGN,Los Angeles,LOS ANGELES,90022,(323) 303 0147,B,buyer_GC,LA
1058540,ELIRAN LEVI,Los Angeles,ENCINO,91316,(818) 277 0266,B,buyer_GC,LA
1058550,365 RESTORATION SERVICES INC,Los Angeles,SANTA CLARITA,91350,(661) 287 9717,B,buyer_GC,LA
1058558,V F W MAINTENANCE INC,Los Angeles,LA CRESCENTA,91214,(818) 248 5657,B,buyer_GC,LA
1058560,PEDRO GONZALEZ POOLS & CONSTRUCTION,Los Angeles,PACOIMA,91331,(818) 400 4590,B|C53,buyer_GC,LA
1058573,PABLO DIAZ,Los Angeles,LOS ANGELES,90063,(323) 610 6750,B,buyer_GC,LA
1058592,NORK CONSTRUCTION INC,Los Angeles,GLENDALE,91202,(818) 213 8330,B,buyer_GC,LA
1058594,CALL BEFORE YOU FALL INC,Los Angeles,AGOURA HILLS,91301,(800) 829 1491,B|C11,buyer_GC,LA
1058605,PLUMBING HEROES,Alameda,ALAMEDA,94501,(510) 631 4056,B|C10|C36,buyer_GC,SF_BAY
1058624,RSI FLOORING,Los Angeles,LANCASTER,93534,(661) 618 6757,B|C15,buyer_GC+partner,LA
1058627,KNOCKOUT PAINTING,San Francisco,SAN FRANCISCO,94122,(415) 410 4695,C33,partner,SF_BAY
1058646,BEES STRUCTION CORP,Los Angeles,CALABASAS,91302,(818) 854 4777,B,buyer_GC,LA
1058652,KORNERSTONE TECHNOLOGY INC DBA KORNERSTONE DEVELOPMENT,Los Angeles,CANYON COUNTRY,91351,(818) 206 6383,B,buyer_GC,LA
1058669,LOCAL INSULATION CONTRACTOR,Los Angeles,CANOGA PARK,91304,(800) 989 8905,B|C-2,buyer_GC,LA
1058678,PRO SOLAR INC DBA PRO INSTALLATIONS CO,Alameda,LIVERMORE,94551,(925) 380 9500,B,buyer_GC,SF_BAY
1058696,ANDINO'S PERFORMANCE CONSTRUCTION,Los Angeles,LOS ANGELES,90019,(909) 859 5443,B,buyer_GC,LA
1058712,5 STARS PLUMBING,Los Angeles,WOODLAND HILLS,91364,(310) 709 6156,B|C33|C36,buyer_GC+partner,LA
1058716,CHUNG-CHI KANG,Alameda,DUBLIN,94568,(510) 220 1558,B|C54,buyer_GC+partner,SF_BAY
1058738,KANGER KIN CHUNG SHUM,Alameda,HAYWARD,94542,(510) 219 8675,B|C51,buyer_GC,SF_BAY
1058739,B N C TECHNOLOGY INC DBA B N C GROUP,Los Angeles,ROSEMEAD,91770,(626) 246 8246,B,buyer_GC,LA
1058755,JOSE DE JESUS DE LA CERDA DBA GDLC TILE DESIGNS,Los Angeles,TORRANCE,90502,(714) 232 0730,C15|C54,partner,LA
1058764,PAUL SARGON POLI,Los Angeles,GLENDALE,91208,(818) 398 3173,B,buyer_GC,LA
1058776,LUXE PAINTING SF,San Francisco,SAN FRANCISCO,94112,(415) 710 7214,C33,partner,SF_BAY
1058783,ZHIPENG WANG CONSTRUCTION,Los Angeles,SAN GABRIEL,91778,(909) 235 6696,B,buyer_GC,LA
1058794,HUGO LAM,Los Angeles,BALDWIN PARK,91706,(626) 607 3776,B,buyer_GC,LA
1058804,ALL STAR HOME REMODELING INC,Los Angeles,ENCINO,91316,(818) 667 0745,B,buyer_GC,LA
1058814,CAL BEAR BUILDERS INC,Alameda,HAYWARD,94542,(408) 469 5135,B,buyer_GC,SF_BAY
1058826,G F C GENERAL CONSTRUCTION,Los Angeles,LOS ANGELES,90019,(323) 282 6592,B,buyer_GC,LA
1058881,TRUE BOUNCE PAINTING SURFACES,Los Angeles,MANHATTAN BEACH,90266,(310) 487 4088,C33,partner,LA
1058893,ANTHONY ZIMMITTI,Los Angeles,PASADENA,91105,(818) 421 3133,B,buyer_GC,LA
1058902,VACA CONSTRUCTION,Alameda,HAYWARD,94544,(408) 903 3943,B,buyer_GC,SF_BAY
1058907,OLMEC BUILDERS INC,San Francisco,SAN FRANCISCO,94131,(415) 420 2056,B,buyer_GC,SF_BAY
1058911,PEACHY BUILDERS,Los Angeles,WEST HILLS,91307,(818) 825 6483,B,buyer_GC,LA
1058913,CHENXI WU,Los Angeles,LAKEWOOD,90715,(213) 330 5717,B,buyer_GC,LA
1058914,H & Z CONSTRUCTION INC,San Mateo,DALY CITY,94014,(415) 310 2668,A|B|C10|C16|C20|C36|C38,buyer_GC,SF_BAY
1058938,WOLFEROW CONSTRUCTION,Los Angeles,ALTADENA,91001,(818) 585 3655,B,buyer_GC,LA
1058959,BOB PETERSON CONSTRUCTION,Alameda,DUBLIN,94568,(925) 918 2434,B,buyer_GC,SF_BAY
1058967,ROSAS FLOORING CO,Alameda,OAKLAND,94603,(510) 342 4261,C15,partner,SF_BAY
1058981,BRIGHTSTAR DEVELOPMENT GROUP INC DBA BEACHWOOD BUILDERS,Los Angeles,ENCINO,914167176,(818) 430 2455,B,buyer_GC,LA
1059000,CALIFORNIA CUSTOM WALLS CONSTRUCTION,Los Angeles,SANTA CLARITA,91350,(818) 430 9639,B,buyer_GC,LA
1059005,PJX2 DEVELOPMENT GROUP LLC,Los Angeles,PLAYA DEL REY,90293,(310) 982 1146,B,buyer_GC,LA
1059018,MAYNOR JASIEL CHIRINOS MURILLO,Los Angeles,BELL GARDENS,90201,(323) 456 5223,C33,partner,LA
1059019,CASTILLO'S CONSTRUCTION,Los Angeles,INGLEWOOD,90304,(424) 207 6129,B,buyer_GC,LA
1059021,HOPE REMODELING INC,Los Angeles,BALDWIN PARK,91706,(626) 592 7336,B,buyer_GC,LA
1059022,CLAYS CONSTRUCTION,Los Angeles,CERRITOS,90703,(808) 333 1721,B,buyer_GC,LA
1059029,BAFFUTO CONSTRUCTION,Los Angeles,SHERMAN OAKS,91411,(406) 589 4500,B,buyer_GC,LA
1059032,PROJECT PAINTING,Los Angeles,VAN NUYS,91405,(818) 858 6207,C33,partner,LA
1059034,MILLAN & ASSOCIATES,San Mateo,SOUTH SAN FRANCISCO,94080,(650) 534 5048,B,buyer_GC,SF_BAY
1059060,VELOCITY GENERAL CONSTRUCTION,Los Angeles,POMONA,91766,(909) 933 0554,B,buyer_GC,LA
1059082,K V A BUILDERS INC,Los Angeles,MONTEBELLO,90640,(323) 243 9045,B,buyer_GC,LA
1059091,D E HYLTON INC,Los Angeles,WEST COVINA,91790,(626) 938 0385,B,buyer_GC,LA
1059100,FRENCHPARK FLOORING AND MAINTENANCE LLC DBA FRENCHPARK FLOORS,Alameda,CASTRO VALLEY,94546,(415) 816 4477,B|C15,buyer_GC+partner,SF_BAY
1059110,IMPERIUM CONSTRUCTION & ENGINEERING,Los Angeles,BURBANK,91505,(818) 478 1686,A|B|C-8|C27|C29|C47|C53,buyer_GC,LA
1059125,ZHENG CHAI,Alameda,NEWARK,94560,(510) 474 8070,B,buyer_GC,SF_BAY
1059126,QUAN CONSTRUCTION,Los Angeles,ROWLAND HEIGHTS,91748,(626) 313 8899,B,buyer_GC,LA
1059169,RAM BUILDER'S INC,Los Angeles,ALTADENA,91001,(626) 241 7530,B,buyer_GC,LA
1059179,3B T'S CONSTRUCTION COMPANY,San Francisco,SAN FRANCISCO,94134,(415) 859 9289,B|C36,buyer_GC,SF_BAY
1059184,SERVPRO OF VAN NUYS SOUTH,Los Angeles,VAN NUYS,91406,(818) 780 7111,B,buyer_GC,LA
1059189,SUNNY GREEN BUILDERS,San Francisco,SAN FRANCISCO,94121,(415) 310 0482,B,buyer_GC,SF_BAY
1059195,ROSS BROTHERS GENERAL CONTRACTORS,Los Angeles,MALIBU,90265,(310) 502 6322,B,buyer_GC,LA
1059198,KWANG YOUNG KIM,Los Angeles,LOS ANGELES,90006,(213) 222 3223,B,buyer_GC,LA
1059209,BA CRETE CORP,Los Angeles,VAN NUYS,91406,(310) 259 4806,A|B,buyer_GC,LA
1059213,TULIP REMODELING INC,Los Angeles,LOS ANGELES,90036,(424) 281 4498,B,buyer_GC,LA
1059226,COMODO INTERIORS US,Los Angeles,LOS ANGELES,90029,(373) 806 9459,B,buyer_GC,LA
1059234,INGENIOUS DESIGN & CONSTRUCTION,Los Angeles,TORRANCE,90501,(310) 897 8199,B,buyer_GC,LA
1059240,G LEON CONSTRUCTION,Los Angeles,WINNETKA,91306,(818) 723 8615,B,buyer_GC,LA
1059254,COMPLETE DEMOLITION INC,Los Angeles,REDONDO BEACH,90278,(323) 530 0777,A|B|C21|D06|HAZ,buyer_GC,LA
1059258,REC RENEWABLE ENERGY CONSULTANTS DBA REC RENEWABLE ENERGY,Los Angeles,SHERMAN OAKS,91423,(323) 672 7013,B,buyer_GC,LA
1059278,VISION HOME REMODELING INC,Los Angeles,CANOGA PARK,91304,(818) 599 2050,B,buyer_GC,LA
1059301,BVR PAINTING INC,San Mateo,COLMA,94014,(415) 240 6551,C33,partner,SF_BAY
1059307,MOSHE HANUN,Los Angeles,TARZANA,91335,(818) 968 9958,B,buyer_GC,LA
1059315,VARELA CONSTRUCTION INC,Los Angeles,LANCASTER,93536,(661) 816 8764,B,buyer_GC,LA
1059316,J C MARBLE & GRANITE RESTORATION,Los Angeles,SANTA MONICA,90404,(310) 314 0077,C54,partner,LA
1059330,BEST HOME ADVISOR REMODELING INC,Los Angeles,NORTH HOLLYWOOD,91606,(818) 355 9419,B,buyer_GC,LA
1059356,MODERN CONSTRUCTION MANAGEMENT INC DBA MCM CONSTRUCTION INC,Los Angeles,WOODLAND HILLS,91367,(818) 517 1554,A|B,buyer_GC,LA
1059361,MCES & ASSOCIATES CO DBA MCES CONSTRUCTION,Los Angeles,WOODLAND HILLS,91365,(310) 437 9695,B,buyer_GC,LA
1059364,ARTISAN BUILD GROUP,Los Angeles,SHERMAN OAKS,91403,(818) 653 4003,B,buyer_GC,LA
1059368,STEP AHEAD BUILDERS INC,San Mateo,DALY CITY,94014,(650) 598 9898,B,buyer_GC,SF_BAY
1059370,ELITE FLOORS,Los Angeles,NORWALK,90650,(562) 477 0859,C15,partner,LA
1059391,ANBON DEVELOPMENT INC,Los Angeles,POMONA,91768,(626) 383 9248,B|C27,buyer_GC,LA
1059393,MCGEE CONSTRUCTION,Los Angeles,MALIBU,90265,(310) 625 1810,B,buyer_GC,LA
1059397,JOSSO'S PAINTING,Los Angeles,VAN NUYS,91406,(818) 512 1461,C33,partner,LA
1059405,AC GUY INC,Los Angeles,PACOIMA,91331,(323) 898 2304,B|C20,buyer_GC,LA
1059407,SEISMIC RETROFITERS INC,Los Angeles,SHERMAN OAKS,91403,(818) 468 6406,A|B,buyer_GC,LA
1059416,PALM COAST CONSTRUCTION INC,Los Angeles,BEVERLY HILLS,90211,(626) 562 8368,B,buyer_GC,LA
1059419,MDX CONSTRUCTION GROUP INC,Los Angeles,LOMITA,90717,(424) 571 0193,B,buyer_GC,LA
1059422,SKYLINE CONSTRUCTION GROUP,Los Angeles,BELL CANYON,91307,(909) 440 3282,B,buyer_GC,LA
1059464,LAYOUT PLAN CONSTRUCTION ENTERPRISES,Alameda,SAN LEANDRO,94577,(925) 808 8642,B,buyer_GC,SF_BAY
1059470,TRILOGY CONSTRUCTION SERVICES INC,Los Angeles,BELLFLOWER,90706,(714) 606 8385,B,buyer_GC,LA
1059474,LEON L LIAO,Los Angeles,WALNUT,91789,(626) 319 4777,B,buyer_GC,LA
1059475,BOB BISHOP BUILDERS INC,Alameda,LIVERMORE,94550,(925) 200 6240,B,buyer_GC,SF_BAY
1059482,TERRAMARK ENGINEERING CORPORATION DBA TERRAMARK CONSTRUCTION,Los Angeles,MONTEREY PARK,91754,(323) 888 6100,B,buyer_GC,LA
1059491,DE LA CRUZ INC,Los Angeles,LONG BEACH,90814,(562) 810 7249,B,buyer_GC,LA
1059510,KAYKO GROUP INC,Los Angeles,GARDENA,90249,(310) 567 2177,B,buyer_GC,LA
1059519,MOD LUXE INC,Los Angeles,MARINA DEL REY,90292,(310) 745 8900,B,buyer_GC,LA
1059528,TRANSYLVANIA CONSTRUCTION,Los Angeles,ENCINO,91316,(916) 459 5042,B,buyer_GC,LA
1059529,HOME CRAFTERS INC,Los Angeles,AGOURA HILLS,91376,(818) 275 2475,B,buyer_GC,LA
1059539,BRIGHTER LEGACY BUILDERS INC,San Francisco,SAN FRANCISCO,94134,(415) 933 4020,B,buyer_GC,SF_BAY
1059544,MAC CONSTRUCTION,Los Angeles,EL MONTE,91732,(626) 257 0065,B,buyer_GC,LA
1059550,JC TORRES GENERAL CONSTRUCTION INC,Los Angeles,PACOIMA,91331,(818) 581 7058,B,buyer_GC,LA
1059558,SONNY BUILDERS INC,Los Angeles,LOS ANGELES,90036,(855) 950 9181,B,buyer_GC,LA
1059579,MJ BUILDERS & RENOVATIONS INC,Los Angeles,SANTA FE SPRINGS,90670,(562) 639 4054,B,buyer_GC,LA
1059595,MARQUEL GROUP INC,Los Angeles,LOS ANGELES,90029,(818) 339 8203,B,buyer_GC,LA
1059602,AR MCDONALD BUILDERS INC,Alameda,OAKLAND,94601,(510) 860 3810,B,buyer_GC,SF_BAY
1059636,BETTERLIFE CONSTRUCTION,Los Angeles,BALDWIN PARK,91706,(626) 223 1864,B|C20,buyer_GC,LA
1059646,OPUS BUILDERS INC,Los Angeles,GLENDALE,91202,(818) 939 8855,B,buyer_GC,LA
1059647,RYCO INC,Los Angeles,RESEDA,91335,(818) 913 5805,A|B,buyer_GC,LA
1059655,M G INTERNATIONAL PAINT,Los Angeles,PALMDALE,93591,(661) 600 8050,C33,partner,LA
1059658,BLUE VISION PAINTING,Los Angeles,LYNWOOD,90262,(562) 688 7151,C33,partner,LA
1059664,ATLAS TR INC DBA ATLAS GENERAL CONSTRUCTION,Alameda,NEWARK,94560,(650) 440 2236,B,buyer_GC,SF_BAY
1059676,UNITY CONSTRUCTION,Los Angeles,GARDENA,90247,(310) 753 5577,B,buyer_GC,LA
1059684,BUILD METHOD CONSTRUCTION INC,Los Angeles,STUDIO CITY,91604,(818) 900 9626,B,buyer_GC,LA
1059686,PAUTH'S CONSTRUCTION SERVICES CORP,Los Angeles,LAKEWOOD,90714,(562) 314 5019,B,buyer_GC,LA
1059699,Z & A CONSTRUCTION & DEVELOPMENT,Los Angeles,LOS ANGELES,90048,(424) 230 1051,B,buyer_GC,LA
1059703,NOEI GROUP INC,Los Angeles,LOS ANGELES,91326,(424) 324 7661,B,buyer_GC,LA
1059714,R S C CONSTRUCTION INC,Los Angeles,HAWTHORNE,90250,(310) 678 7679,B,buyer_GC,LA
1059718,BALLART'S GENERAL CONSTRUCTION COMPANY CORPORATION,Los Angeles,TEMPLE CITY,91780,(626) 616 6381,B,buyer_GC,LA
1059733,3 TEN BUILDERS INC,Los Angeles,PORTER RANCH,91326,(805) 298 2254,B,buyer_GC,LA
1059738,DERRICK TAM DBA WECARE DEVELOPMENT,Los Angeles,ARCADIA,91007,(626) 642 6023,B,buyer_GC,LA
1059742,WORKING HANDS BUILDERS INC,Los Angeles,WOODLAND HILLS,91364,(818) 300 2537,B,buyer_GC,LA
1059766,OAKMONT DEVELOPMENT INC,Los Angeles,AGUA DULCE,91390,(805) 815 6594,B,buyer_GC,LA
1059768,MARCO ANTONIO RUIZ DBA M A PACIFIC PAINTING,Los Angeles,MISSION HILLS,91345,(323) 314 2501,C33,partner,LA
1059769,GOZ BUILDERS INC,Los Angeles,LYNWOOD,90262,(323) 559 5178,B|C33,buyer_GC+partner,LA
1059776,EVERARDO VELASQUEZ GOMEZ,Los Angeles,LOS ANGELES,90057,(323) 251 1081,B|C36,buyer_GC,LA
1059782,PURUS INC,Alameda,LIVERMORE,94551,(925) 320 0999,B|C-7|C10|C28,buyer_GC,SF_BAY
1059787,MS TILE AND STONE,Los Angeles,SYLMAR,91342,(818) 605 4886,C54,partner,LA
1059792,J G TUN CONSTRUCTION INC,Los Angeles,LOS ANGELES,90018,(323) 667 6564,B|C39,buyer_GC,LA
1059807,KING YOUNG INVESTMENTS INC,Los Angeles,WALNUT,91789,(626) 780 5805,B,buyer_GC,LA
1059812,FRASSA QUALITY CONSTRUCTION INC,Alameda,OAKLAND,94603,(510) 359 0008,B,buyer_GC,SF_BAY
1059815,ADVANCED INSTALLATION SERVICES INC,Alameda,UNION CITY,94587,(510) 441 6201,B|D34,buyer_GC,SF_BAY
1059825,VELOX CONSTRUCTION INC WHICH WILL DO BUSINESS IN CALIFORNIA AS,San Francisco,SAN FRANCISCO,94102,(415) 416 0177,B,buyer_GC,SF_BAY
1059835,VENEGAS PLASTERING,Los Angeles,HAWTHORNE,90250,(562) 230 5793,C35,partner,LA
1059852,L M CARPETS,San Mateo,BURLINGAME,94010,(650) 464 8086,C15,partner,SF_BAY
1059870,AMERICAN TRUSTED BUILDERS INC,Los Angeles,TARZANA,91356,(818) 822 8134,B,buyer_GC,LA
1059885,BUILDER POINT CONSTRUCTION,Los Angeles,DOWNEY,90241,(562) 244 8783,B,buyer_GC,LA
1059891,ZHONGWEI CONSTRUCTION,San Mateo,MILLBRAE,940301530,(415) 812 6691,B,buyer_GC,SF_BAY
1059906,GRAND VIEW CONSTRUCTION INC,Alameda,FREMONT,94539,(650) 409 7212,B,buyer_GC,SF_BAY
1059908,J N BUILDER LLC,Alameda,FREMONT,94536,(408) 499 9048,B,buyer_GC,SF_BAY
1059920,BOURNE GROUP INC,Los Angeles,POMONA,91767,(626) 523 4997,B,buyer_GC,LA
1059942,VARGAS & SONS CONSTRUCTION INC,Los Angeles,RESEDA,91335,(805) 428 4634,B,buyer_GC,LA
1059945,A1 HOME REMODELING INC,Los Angeles,RESEDA,91335,(310) 980 0662,B,buyer_GC,LA
1059948,LADB CONSTRUCTION INC,Los Angeles,LAKE BALBOA,91406,(818) 614 4788,B,buyer_GC,LA
1059973,GM WORK INC,Los Angeles,POMONA,91767,(323) 556 1068,B,buyer_GC,LA
1059988,F & Q BUILDERS INC,Alameda,OAKLAND,94606,(510) 836 4000,B,buyer_GC,SF_BAY
1060014,MONCEAUX ENTERPRISE INC,Los Angeles,SUN VALLEY,91352,(818) 397 8995,B,buyer_GC,LA
1060027,BOB THE PAVER DBA BAK CONSTRUCTION,Los Angeles,TARZANA,91356,(213) 280 2819,A|B,buyer_GC,LA
1060032,KEVIN REIMER BUILDER,Alameda,EMERYVILLE,94608,(510) 220 1633,B,buyer_GC,SF_BAY
1060052,DOUG'S CONSTRUCTION INC,San Mateo,DALY CITY,94015,(415) 988 1636,B,buyer_GC,SF_BAY
1060053,SPECIAL MARBLE & GRANITE,Alameda,HAYWARD,94544,(510) 600 7350,C54,partner,SF_BAY
1060070,CAK RENOVATIONS,San Francisco,SAN FRANCISCO,94117,(415) 810 1210,B,buyer_GC,SF_BAY
1060071,AARON RUBEN ALCOCER,Los Angeles,TORRANCE,90502,(909) 973 1367,B,buyer_GC,LA
1060073,FIRST CHOICE CONSTRUCTION,Los Angeles,WEST COVINA,91791,(626) 343 2823,B,buyer_GC,LA
1060075,CUSTOM TILE,Los Angeles,MONTEBELLO,90640,(323) 533 6959,B|C54,buyer_GC+partner,LA
1060078,L A SEISMIC CONSTRUCTION CO,Los Angeles,LOS ANGELES,90065,(323) 255 7138,B|C20|D12,buyer_GC,LA
1060105,88 BUILDERS,San Mateo,DALY CITY,94014,(415) 264 5807,B,buyer_GC,SF_BAY
1060122,ALL AMERICAN FLOOR COVERING,Los Angeles,POMONA,91768,(562) 241 7114,C15,partner,LA
1060123,FGALICIA CONSTRUCTION INC,San Francisco,SAN FRANCISCO,94134,(415) 524 9553,B,buyer_GC,SF_BAY
1060124,CAL CON STEEL INC,Los Angeles,LOS ANGELES,90006,(213) 327 4755,A|B|C51,buyer_GC,LA
1060132,ACN CONSTRUCTION SERVICES,Los Angeles,LOS ANGELES,90011,(213) 210 9592,B,buyer_GC,LA
1060134,ARTHUR REMODELING,San Francisco,SAN FRANCISCO,94121,(415) 370 7201,B,buyer_GC,SF_BAY
1060182,FIX CONCIERGE,Los Angeles,SHERMAN OAKS,91403,(818) 208 9165,ASB|B|C-9|C36|C46,buyer_GC,LA
1060184,ALTECH PRO PAINTING,Los Angeles,LOS ANGELES,90047,(323) 691 8416,C33,partner,LA
1060296,IDEAL CONSTRUCTION,Los Angeles,PALMDALE,93552,(818) 404 1517,B,buyer_GC,LA
1060300,SERVPRO OF CERRITOS,Los Angeles,CERRITOS,90703,(562) 916 7646,B,buyer_GC,LA
1060315,BUILD CUSTOM HOME INC,Los Angeles,AGOURA HILLS,91301,(818) 402 8989,B,buyer_GC,LA
1060316,TBM BUILDERS INC,Los Angeles,NORTH HOLLYWOOD,91606,(818) 451 8388,B,buyer_GC,LA
1060317,GFY CONSTRUCTION INC,Los Angeles,BURBANK,91501,(818) 314 5065,B,buyer_GC,LA
1060327,SHNC GC INC,Los Angeles,WALNUT,91789,(909) 594 9500,A|B,buyer_GC,LA
1060371,SP PAINTING AND WATERPROOFING INC,Los Angeles,LOS ANGELES,90061,,B|C33,buyer_GC+partner,LA
1060372,SAMUEL J LEE,Los Angeles,DIAMOND BAR,91765,(909) 868 8550,B,buyer_GC,LA
1060375,RIVERA'S CONSTRUCTION,Los Angeles,WHITTIER,90606,(562) 639 8663,B,buyer_GC,LA
1060396,DAMAGE INCORPORATED CONSTRUCTION,Los Angeles,MISSION HILLS,91345,(818) 405 3235,B,buyer_GC,LA
1060407,ICE & HOT HVAC AIR CONDITION INC,Los Angeles,ALHAMBRA,91801,(626) 872 9902,B|C10|C20,buyer_GC,LA
1060432,XU WANG,Los Angeles,SOUTH EL MONTE,91733,(626) 428 9707,B,buyer_GC,LA
1060447,LEMCO CONSTRUCTION INC,Los Angeles,LOS ANGELES,90066,(310) 999 3195,B,buyer_GC,LA
1060467,BC CONSTRUCTION & DEVELOPMENT INC,Los Angeles,SHERMAN OAKS,91411,(818) 208 9434,B,buyer_GC,LA
1060468,OCEAN HOME CONSTRUCTION INC,Los Angeles,BELL,90201,(323) 316 4482,B,buyer_GC,LA
1060470,CAL VANTAGE CONSTRUCTION INC,Los Angeles,GLENDALE,91206,(818) 970 6777,B,buyer_GC,LA
1060473,CITY FLOORING REPAIR,San Francisco,SAN FRANCISCO,94133,(415) 580 8396,C15,partner,SF_BAY
1060485,M G PAINTING,Los Angeles,LOS ANGELES,90066,(818) 223 1262,C33,partner,LA
1060498,JLE PAINTING,Los Angeles,ALHAMBRA,91801,(310) 860 6977,C33,partner,LA
1060534,GOLDEN Z CONSTRUCTION INC,Los Angeles,LOS ANGELES,90035,(888) 721 2228,B,buyer_GC,LA
1060535,PLATINUM HOME REMODELING INC,Los Angeles,LONG BEACH,90802,(888) 557 5284,B|C10|C20|C36,buyer_GC,LA
1060537,D A F E GENERAL CONSTRUCTION,Los Angeles,LOS ANGELES,90057,(323) 875 4660,B|D39,buyer_GC,LA
1060550,ALEXANDER WANG,Los Angeles,ALHAMBRA,91803,(626) 688 3876,B,buyer_GC,LA
1060551,CM PROFESSIONAL PAINTING,Los Angeles,RESEDA,91335,(818) 856 6001,C33,partner,LA
1060560,MODERNIZATION CONSTRUCTION,Los Angeles,TORRANCE,90503,(424) 206 8283,B,buyer_GC,LA
1060565,CALIFORNIA GREEN BUILDER,San Mateo,SAN MATEO,94404,(415) 235 6658,B,buyer_GC,SF_BAY
1060581,MARLOWE KENT CONSTRUCTION,Alameda,BERKELEY,94708,(510) 520 2059,B,buyer_GC,SF_BAY
1060600,BLACKSTONE PARTNERS INC,Los Angeles,GLENDALE,91208,(818) 291 9600,B,buyer_GC,LA
1060610,PERFORMANCE AIR CONDITIONING,Los Angeles,SANTA CLARITA,91350,(661) 360 3721,B|C39,buyer_GC,LA
1060633,NEW PK CONSTRUCTION INC,Los Angeles,HACIENDA HEIGHTS,91745,(626) 610 5251,B,buyer_GC,LA
1060645,DEL BUILDERS INC,Los Angeles,SHERMAN OAKS,91403,(818) 437 1111,B,buyer_GC,LA
1060659,MAGIC TOUCH FINISHING LLC DBA MAGIC TOUCH PAINTING AND DECORATING,Los Angeles,EAGLE ROCK,90041,(323) 404 5435,C33,partner,LA
1060663,SKYLAND CONSTRUCTION AND REMODELING CO,Los Angeles,WALNUT,91789,(626) 589 1550,B,buyer_GC,LA
1060694,RUSSELL CONSTRUCTION LLC,Los Angeles,LA VERNE,91750,(626) 622 0906,B,buyer_GC,LA
1060705,WEN HUANG CONSTRUCTION,San Mateo,DALY CITY,94014,(916) 479 6652,B,buyer_GC,SF_BAY
1060708,MARTILLOS GENERAL CONSTRUCTION CO,Los Angeles,WINNETKA,91306,(818) 378 8338,B,buyer_GC,LA
1060715,SO CAL CONSTRUCTION AND PAINTING,Los Angeles,VALENCIA,91381,(213) 494 1099,B|C33,buyer_GC+partner,LA
1060729,BIGLER UNIVERSAL PAINTING INC,San Francisco,SAN FRANCISCO,94110,(415) 513 8046,C33,partner,SF_BAY
1060740,NURTURE SOURCE PARTNERS LLC,Alameda,BERKELEY,94710,(510) 868 1021,B,buyer_GC,SF_BAY
1060746,JOSE ARISTERES RIVERA,Los Angeles,RESEDA,91335,(213) 926 2484,C33,partner,LA
1060750,ELVY INC DBA ABC CONSTRUCTION,Los Angeles,NORTH HOLLYWOOD,91601,(323) 373 5657,B,buyer_GC,LA
1060751,PENINSULA E&C CORPORATION,Los Angeles,LOS ANGELES,90010,(213) 382 1233,B,buyer_GC,LA
1060763,HERNANDEZ CONTRACTORS INC,Los Angeles,LOS ANGELES,90037,(323) 270 6058,B,buyer_GC,LA
1060786,RAM BUILDERS & ELECTRIC,Los Angeles,PALMDALE,93550,(661) 435 9209,B|C10,buyer_GC,LA
1060790,MOLINA PLASTERING,Alameda,HAYWARD,94542,(650) 477 9764,C35,partner,SF_BAY
1060792,HECTOR M ARCE,Los Angeles,PACOIMA,91331,(818) 389 2271,B|C10|C36,buyer_GC,LA
